12:50:28 INFO  application.ApplicationManager - Start browser CHROME
12:50:30 INFO  application.ApplicationManager - Navigate to https://ilcarro.xyz/search
12:50:30 INFO  TestBase - =================================
12:50:30 INFO  TestBase - Start on method - registrationTestWithoutCSV
12:50:30 INFO  TestBase - Registration with --> Name: Sergey, Lastname: Jamayka
12:50:32 INFO  TestBase - Test passed
12:50:34 INFO  TestBase - End off method - registrationTestWithoutCSV
12:50:34 INFO  TestBase - =================================
12:50:34 INFO  TestBase - Start on method - registrationTestWithoutCSV
12:50:35 INFO  TestBase - Registration with --> Name: Sergey, Lastname: Jamayka
12:50:36 INFO  TestBase - Test passed
12:50:39 INFO  TestBase - End off method - registrationTestWithoutCSV
12:50:39 INFO  TestBase - =================================
12:50:39 INFO  TestBase - Start on method - registrationTestWithoutCSV
12:50:39 INFO  TestBase - Registration with --> Name: Sergey, Lastname: Jamayka
12:50:41 INFO  TestBase - Test passed
12:50:43 INFO  TestBase - End off method - registrationTestWithoutCSV
